FILENAME, FILE PATH, FILE TYPE, FILE FORMAT, CODEC, VIDEO DETAILS, AUDIO FORMAT 
common_art_logo.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/common_art_logo.png,png,PNG,,,
01.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/PreviewHorizontal/01.png,png,PNG,,,
02.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/PreviewHorizontal/02.png,png,PNG,,,
03.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/PreviewHorizontal/03.png,png,PNG,,,
04.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/PreviewHorizontal/04.png,png,PNG,,,
05.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/PreviewHorizontal/05.png,png,PNG,,,
06.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/PreviewHorizontal/06.png,png,PNG,,,
07.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/PreviewHorizontal/07.png,png,PNG,,,
08.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/PreviewHorizontal/08.png,png,PNG,,,
09.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/PreviewHorizontal/09.png,png,PNG,,,
10.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/PreviewHorizontal/10.png,png,PNG,,,
11.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/PreviewHorizontal/11.png,png,PNG,,,
12.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/PreviewHorizontal/12.png,png,PNG,,,
13.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/PreviewHorizontal/13.png,png,PNG,,,
14.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/PreviewHorizontal/14.png,png,PNG,,,
15.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/PreviewHorizontal/15.png,png,PNG,,,
01.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/Tiny/01.png,png,PNG,,,
02.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/Tiny/02.png,png,PNG,,,
03.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/Tiny/03.png,png,PNG,,,
04.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/Tiny/04.png,png,PNG,,,
05.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/Tiny/05.png,png,PNG,,,
06.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/Tiny/06.png,png,PNG,,,
07.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/Tiny/07.png,png,PNG,,,
08.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/Tiny/08.png,png,PNG,,,
09.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/Tiny/09.png,png,PNG,,,
10.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/Tiny/10.png,png,PNG,,,
11.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/Tiny/11.png,png,PNG,,,
12.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/Tiny/12.png,png,PNG,,,
13.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/Tiny/13.png,png,PNG,,,
14.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/Tiny/14.png,png,PNG,,,
15.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/GC/Tiny/15.png,png,PNG,,,
Silence.wav,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/Muvee_Styles/Silence.wav,wav,Wave,,,PCM
lean and clean2.wma,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/Muvee_Styles/style_1/audio/lean\ and\ clean2.wma,wma,Windows Media,,,WMA
ClassicSepia.wma,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/Muvee_Styles/style_2/audio/ClassicSepia.wma,wma,Windows Media,,,WMA
OTTMusicVideo.wma,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/Muvee_Styles/style_3/audio/OTTMusicVideo.wma,wma,Windows Media,,,WMA
care free days.wma,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/Muvee_Styles/style_4/audio/care\ free\ days.wma,wma,Windows Media,,,WMA
dreamy piano.wma,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/Muvee_Styles/style_5/audio/dreamy\ piano.wma,wma,Windows Media,,,WMA
Journal.wma,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/Muvee_Styles/style_6/audio/Journal.wma,wma,Windows Media,,,WMA
styles.txt,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/Muvee_Styles/styles.txt,txt,,,,
shell.txt,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/shell.txt,txt,,,,
splash_art_open.jpg,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/custom_c/splash_art_open.jpg,jpg,JPEG,,,
Flip Video Installer.exe,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/Flip\ Video\ Installer.exe,exe,MZ,,,
Flip Video Uninstaller.exe,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/Flip\ Video\ Uninstaller.exe,exe,MZ,,,
active_x.cct,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/libs/active_x.cct,cct,,,,
code.cct,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/libs/code.cct,cct,,,,
custom.cct,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/libs/custom.cct,cct,,,,
empty_cast.cct,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/libs/empty_cast.cct,cct,,,,
link_dot.pd,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/links/link_dot.pd,pd,JPEG,,,
link_dot.png,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/links/link_dot.png,png,PNG,,,
link_image_missing.jpg,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/links/link_image_missing.jpg,jpg,JPEG,,,
TEST.AVI,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/links/TEST.AVI,AVI,AVI,XVID,MPEG-4 Visual - Advanced Simple - Default (MPEG) - XVID,ADPCM
main.dcr,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/main.dcr,dcr,,,,
message_swap_camcorder.txt,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/messages/message_swap_camcorder.txt,txt,,,,
message_swap_photo_video_dvd.txt,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/messages/message_swap_photo_video_dvd.txt,txt,,,,
Install.gif,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/Muvee_Plugin/_Graphics/Install.gif,gif,GIF,,,
LL.gif,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/Muvee_Plugin/_Graphics/LL.gif,gif,GIF,,,
LR.gif,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/Muvee_Plugin/_Graphics/LR.gif,gif,GIF,,,
oci_header.jpg,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/Muvee_Plugin/_Graphics/oci_header.jpg,jpg,JPEG,,,
OCI_Slice.jpg,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/Muvee_Plugin/_Graphics/OCI_Slice.jpg,jpg,JPEG,,,
PleaseWait.gif,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/Muvee_Plugin/_Graphics/PleaseWait.gif,gif,GIF,,,
Style.css,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/Muvee_Plugin/_Graphics/Style.css,css,,,,
UL.gif,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/Muvee_Plugin/_Graphics/UL.gif,gif,GIF,,,
UR.gif,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/Muvee_Plugin/_Graphics/UR.gif,gif,GIF,,,
Utilities.js,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/Muvee_Plugin/_Graphics/Utilities.js,js,,,,
data1.cab,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/Muvee_Plugin/data1.cab,cab,,,,
data1.hdr,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/Muvee_Plugin/data1.hdr,hdr,,,,
data2.cab,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/Muvee_Plugin/data2.cab,cab,,,,
engine32.cab,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/Muvee_Plugin/engine32.cab,cab,,,,
layout.bin,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/Muvee_Plugin/layout.bin,bin,,,,
projPDT.ocx,/Volumes/BRAVO/WORKSPACE/DMZ/STUFF/FLIPVIDEO/System/VIEWER/PD/Muvee_Plugin/projPDT.ocx,ocx,MZ,,,
